id,total_recent,positive_recent,mood_recent,total_all,positive_all,mood_all
1273220,0,0,,47,28,Mixed
1273260,0,0,,103,99,Very Positive
1273460,0,0,,0,0,1 user reviews
1273520,0,0,,29,22,Mostly Positive
1273690,0,0,,73,55,Mostly Positive
1273750,0,0,,52,50,Very Positive
1273790,0,0,,163,118,Mostly Positive
1273971,0,0,,381,300,Mostly Positive
1274490,0,0,,889,764,Very Positive
1274570,2342,2154,Very Positive,16198,14578,Very Positive
1274630,0,0,,14,12,Positive
1275150,0,0,,16,14,Positive
1275660,0,0,,31,21,Mostly Positive
1275760,0,0,,15,10,Mostly Positive
1275890,0,0,Very Positive,1068,1025,Overwhelmingly Positive
1275920,0,0,,306,128,Mixed
1276070,0,0,,0,0,Positive
1276540,0,0,,36,29,Positive
1277400,148,128,Very Positive,7618,5942,Mostly Positive
1277500,20,16,Very Positive,67,59,Very Positive
1277570,0,0,,48,45,Positive
1277830,0,0,,16,12,Mostly Positive
1277930,58,54,Very Positive,1771,1735,Overwhelmingly Positive
1277940,21,19,Very Positive,460,446,Very Positive
1277950,0,0,,50,36,Mostly Positive
1278150,0,0,,32,25,Positive
1278170,0,0,,33,22,Mixed
1278270,0,0,,13,8,Mixed
1278390,12,10,Very Positive,459,380,Very Positive
1278500,0,0,,40,22,Mixed
1279270,0,0,,86,38,Mixed
1279280,0,0,,60,30,Mixed
1279630,14,9,Mostly Positive,503,392,Mostly Positive
1279750,0,0,,19,17,Positive
1279920,0,0,,185,166,Very Positive
1280300,0,0,,105,89,Very Positive
1280780,66,57,Very Positive,1361,1047,Mostly Positive
1280900,0,0,,0,0,9 user reviews
12810,16,14,Very Positive,2863,2519,Very Positive
