id,OS,CPU,RAM,Graphics,DirectX,Disk Space,Additional,type
1012840,"Windows 7, 8, 8.1, 10 x64",Intel Core i7-2600K / AMD Ryzen 5 1500X or equivalent,8 GB RAM,GeForce GTX 1060 / Radeon RX 580,,15 GB available space,,R
1012880,Windows 7/8/10 64 Bit,i5-2430M,4 GB RAM,Nvidia GT540,Version 10,5 GB available space,,M
1012880,,,,,,,,R
10130,Windows(R) XP with latest service pack installed or Windows Vista™,Intel(R) Pentium(R) 4 2.0 GHz or AMD(R) equivalent,1 GB RAM,NVIDIA(R) GeForce(R) 6600 128 MB DirectX(R) 9.0c-compatible card with Pixel Shaders 2.0b support or equivalent (ATI(R) Radeon(R) x700) with latest DirectX drivers,DirectX(R) 9.0c,8 GB free hard drive space,TimeShift only supports multiplayer connectivity over LAN or direct connection,F
1013300,WIN7-64 bit,Intel i3-2100 / AMD A8-5600k,4 GB RAM,GeForce GTX 630 / Radeon HD 6570,Version 11,3 GB available space,,M
1013300,Win7 -64 bit,Intel i5-650 / AMD A10-5800K,,Nvidia GeForce GTX 650 / Radeon HD 7510,,,,R
1013750,Windows XP/Vista/7/8 or above,1.6GHz,2 GB RAM,Supports 1280 * 720 resolution,,255 MB available space,,F
1013870,Windows® 7/8/8.1/10,Intel Core2 Duo or better,4 GB RAM,DirectX 9/OpenGL 4.1 capable GPU,Version 9.0,4 GB available space,1280x768 or better Display.  Lag may occur from loading menus or maps.  Turn off other programs before running the game.,M
1013870,Windows® 7/8/8.1/10,2+ GHz Processor,4 GB RAM,"OpenGL ES 2.0 hardware driver support required for WebGL acceleration. (AMD Catalyst 10.9, nVidia 358.50)",Version 9.0,4 GB available space,1280x768 or better Display.  Lag may occur from loading menus or maps.  Turn off other programs before running the game.,R
1013910,Windows 10 x64,I5 - 2500,8 GB RAM,GTX 970,,15 GB available space,,M
1013910,Windows 10 x64,I7 - 7700,16 GB RAM,GTX 1070,,15 GB available space,,R
1014810,"Windows XP, Windows 7, 8, 10",Intel / AMD x86 / x64 Any 1+ GHz,512 MB RAM,Integrated on-board or better,Version 9.0,686 MB available space,The game is lightweight,F
10150,Windows® XP (with Service Pack 3) or Windows Vista®,Intel® Core™2 Duo 2.6 GHz or AMD Athlon™ 64 X2 4000+ or better,Vista 2 GB RAM / XP 1 GB RAM,All NVIDIA® GeForce® 7800 GT 256 MB and better chipsets. All ATI Radeon™ X1800 256 MB and better chipsets,Microsoft DirectX 9.0c,8GB of free hard drive space,,F
1015030,Windows 7 or later,Intel Core™ Duo or faster,2 GB RAM,OpenGL 3.2+ / DirectX 11+,,500 MB available space,,F
1015050,Windows XP or above,1.0 Ghz or above,1 GB RAM,Any DirectX 9.0 supported card,,1 GB available space,,M
1015050,Windows XP or above,2.0 Ghz or above,2 GB RAM,Any non-integrated card with DirectX 9.0 support w/ 1280 x 720 or above,,1 GB available space,,R
1015160,Windows 7 64-bit,Dual core CPU 2.4 GHz,4 GB RAM,GeForce GTS 450-class (Intel HD 4000),,100 MB available space,,M
