id,title,description,date,dev_id,pub_id,metascore,age_rating,agency
1016120,PGA TOUR 2K21,"Play against the pros. Play with your crew. In PGA TOUR 2K21, you can play by the rules or create your own featuring a new PGA TOUR Career Mode, licensed courses and more! Powered by The Golf Club.","20 Aug, 2020",117,105,74,3,PEGI
1016600,Devil Slayer - Raksasi,"Devil Slayer - Raksasi is a top-down action game with procedurally generated dungeons, profound roguelike elements, and intuitive soul-like fighting. It's a fair and challenging game, dodging, timing, striking, you need to master them all to fight your way out of this cursed world.","22 Apr, 2021",118,118,N/A,,
1016770,Interrogation: You will be deceived,"As a police detective tasked with bringing down a dangerous terrorist group, you fight on two fronts: interrogating suspects & managing your team and its reputation. With time running out, how far will you go to stop these criminals? Manipulation, threats or even torture? Does the end justify the means?","5 Dec, 2019",119,120,N/A,,
1016790,West of Dead,Descend into the grim and gritty world of Purgatory in this cover-based shooter which combines the fluidity of twin-stick controls and tactical cover usage. Dodge behind cover as you try to outgun your enemies in the unknown procedurally generated hunting grounds.,"18 Jun, 2020",121,122,N/A,12,PEGI
1016800,Chernobylite,"Chernobylite is a science-fiction survival horror RPG. Set in the hyper-realistic, 3D-scanned wasteland of Chernobyl’s Exclusion Zone, explore a non-linear storyline in your search to uncover the truth of your tortured past.","28 Jul, 2021",123,123,75,18,PEGI
1016870,FINAL FANTASY XIV: Shadowbringers,,"2 Jul, 2019",124,124,90,16,PEGI
1016920,Unrailed!,"Unrailed! is a co-op multiplayer game where you have to work together with your friends to build a train track across endless procedurally generated worlds. Master random encounters with its inhabitants, upgrade your train and keep it from derailing!","23 Sep, 2020",125,126,77,,
1016960,Super Neptunia RPG,"Neptune, stricken with amnesia, awakes in a mysterious world where 2D reigns supreme. With a little help from her friends, Neptune embark on a journey to regain her memory, save the world, and 3D games as we know it.","20 Jun, 2019",127,128,N/A,,
1017030,Dark Deception Chapter 2,,"21 Jan, 2019",129,129,N/A,,
1017180,The Long Drive,Random generated open world semi-post apocalyptic survival car driving game.,"25 Sep, 2019",130,130,N/A,,
1017220,Trainz 2019 DLC: ECML Kings Cross - Edinburgh 1976,,"13 Mar, 2019",131,-1,N/A,,
1017510,Overcooked! 2 - Night of the Hangry Horde,,"13 Jun, 2019",91,-1,N/A,,
1017900,Age of Empires: Definitive Edition,"Age of Empires, the pivotal real-time strategy game that launched a 20-year legacy returns with modernized gameplay, all-new 4K visuals, 8-person multiplayer battles and a host of other new features. Welcome back to history.","19 Aug, 2019",132,133,69,12,PEGI
10180,Call of Duty®: Modern Warfare® 2,"The most-anticipated game of the year and the sequel to the best-selling first-person action game of all time, Modern Warfare 2 continues the gripping and heart-racing action as players face off against a new threat dedicated to bringing the world to the brink of collapse.","12 Nov, 2009",134,53,86,18,PEGI
1018010,Castlevania Anniversary Collection,"Konami's Castlevania Anniversary Collection traces the origins of the historic vampire franchise. Included is a unique eBook with details provided by developers, artists and others inspired by the Castlevania legacy which sheds a fresh light into the world of Castlevania.","16 May, 2019",135,135,N/A,7,PEGI
1018020,Contra Anniversary Collection,The Contra Anniversary Collection brings this classic Run and Gun franchise back to modern platforms and a new generation of gamers.,"11 Jun, 2019",135,135,N/A,7,PEGI
1018800,DEEEER Simulator: Your Average Everyday Deer Game,"Put simply, DEEEER Simulator is a “Slow-Life Town Destruction Game”. You can spend your days enjoying a nice, relaxed frolic here and there together with the other animals around town, or you can choose to relieve some stress and absolutely destroy the town and everything in it.","20 Jan, 2020",136,113,N/A,,
1018830,Element TD 2 - Tower Defense,"Element TD 2 sees you combine powerful elements to create unique towers. Prove your defenses against challenging foes, and compete or cooperate with others to determine who has mastered the elements.","2 Apr, 2021",137,137,N/A,,
1018850,Smile For Me,"A heartbroken clown, wayward souls, and juicy mechanical lips. As “The Big Event"" draws near, help the troubled residents of the Habitat and de-mask the mysterious Doctor Habit... before it's too late.","31 May, 2019",138,139,N/A,,
